motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
BARHL1	0.3632895725901253	2.9004990393606755	0.40328957259012527	1.8993101424421437e-06	6.0	198552
BARHL2	0.26467316194075663	17.677496362585337	0.3746731619407566	0.02910793819924358	6.0	198552
BARX1	0.29170598514917856	14.468042724399059	0.38170598514917853	0.047174328152286386	6.0	198552
BARX2	0.21050846172885132	26.62055633789433	0.3405084617288513	0.03971229110137287	9.0	198552
BAS1	0.2854780444487894	0.8867871405272412	0.2954780444487894	0.04486954824575321	12.0	198552
BATF	0.31285549479427793	2.481760079015628	0.3428554947942779	0.0005510737887904492	7.0	198552
BATF3	0.324718884870956	2.1454844214013606	0.35471888487095604	0.0006169753638671946	7.0	198552
BATF::JUN	0.3150316088635334	1.9039433685819946	0.34503160886353335	0.0324927565753805	7.0	198552
BCL11A	0.38274017637403945	0.1599427045987315	0.39274017637403946	0.0029214683026237004	7.0	198552
BCL6	0.2856411256410789	1.1922828983066005	0.3056411256410789	0.12717046729526163	13.0	198552
BCL6B	0.23579293063652815	1.0764311359913463	0.24579293063652816	0.0023080041390454082	17.0	198552
BEAF-32	0.2833181673296132	1.8724186238197047	0.3033181673296132	0.026293630132031832	8.0	198552
BEE2	0.23596389862272835	5.676374332420874	0.27596389862272835	0.005759860202987417	6.0	198552
BEH2	0.2565614274562768	5.056474393176224	0.2865614274562768	0.08677355279721696	10.0	198552
BEH3	0.2665315792119065	4.47915162671782	0.29653157921190654	0.007107440401456588	10.0	198552
BEH4	0.2594228196699095	5.719299004497512	0.29942281966990947	0.08413023494167156	10.0	198552
BHLH112	0.3460617932966131	0.002153809177617966	0.3460617932966131	0.002153809177617966	7.0	198552
BHLH122	0.36073294166250863	1.0770388806495141	0.38073294166250865	0.004363782653933779	7.0	198552
BHLH13	0.2866166798841923	2.526881969486657	0.3166166798841923	0.014507995746637796	8.0	198552
BHLH3	0.2627995833390295	4.741585182438706	0.29279958333902945	0.09676852072008743	8.0	198552
BHLH34	0.3109236855154536	1.939063234734215	0.3409236855154536	0.035326862093503296	8.0	198552
BHLH49	0.28971266256892364	1.8476357099993665	0.30971266256892366	0.06088432715938157	7.0	198552
BHLH74	0.23169320959741732	9.037113603831568	0.27169320959741733	0.10313021521862474	14.0	198552
BHLHA15	0.2665001831761112	4.108906007696973	0.29650018317611115	0.02739360638219357	10.0	198552
BHLHE22	0.2880845799264752	2.3432781508510763	0.3180845799264752	0.010553449902431405	6.0	198552
BHLHE23	0.2728817492360147	3.301349741578478	0.30288174923601474	0.008965355532666325	10.0	198552
BHLHE40	0.2815523909791331	3.417435197153448	0.3115523909791331	0.028392292766884136	8.0	198552
BHLHE41	0.25405921576818014	4.025201110476518	0.28405921576818016	0.01247124570511922	10.0	198552
BIM1	0.2833752637009324	2.8338323773757934	0.3133752637009324	0.021654104797187847	8.0	198552
BIM2	0.2712494865931212	4.775299568450631	0.3112494865931212	0.01011072357896155	6.0	198552
BIM3	0.253536022565096	2.519334151396311	0.273536022565096	0.1048329208602333	6.0	198552
BMY2	0.2571429628816978	5.823459945591413	0.2971429628816978	0.03548924632440756	11.0	198552
BNC2	0.32604445201621535	2.1705821061175445	0.3560444520162154	0.013858960462959058	7.0	198552
BPC1	0.15296742136308125	21.848478869055775	0.20296742136308127	0.07793095375297104	24.0	198552
BPC6	0.1913587134014479	13.974169808731562	0.2313587134014479	0.15696293012985116	21.0	198552
BPE	0.309535427473478	2.7378385660407414	0.339535427473478	0.0354418768761644	6.0	198552
BRN2	0.2581229659696082	6.9554388407437315	0.2981229659696082	0.04385283234867032	16.0	198552
BSX	0.2728328931366101	19.8297556704421	0.3928328931366101	0.038377192374330966	6.0	198552
BZIP11	0.27911584128145095	1.666045946658997	0.29911584128145097	0.016176018944103136	13.0	198552
